DATE,UNIDADE,QUANTIDADE
2023-02-06,CO de Capuava,11870.0
2023-02-06,CO de Cascavel,3741.0
2023-02-06,CO de Cuiabá,6615.0
2023-02-06,CO de Duque de Caxias,18792.0
2023-02-06,CO de Fortaleza,15503.0
2023-02-06,CO de Goiânia,9069.0
2023-02-06,CO de Gurupi,4206.0
2023-02-06,CO de Ibirité,12983.0
2023-02-06,CO de Jardinópolis,10239.0
2023-02-06,CO de Mataripe,17586.0
2023-02-06,CO de Natal,8895.0
2023-02-06,CO de Passo Fundo,9006.0
2023-02-06,CO de Paulínia,13288.0
2023-02-06,CO de Pelotas,5392.0
2023-02-06,CO de Suape,24837.0
2023-02-06,CO de São José dos Campos,7217.0
2023-02-06,CO de São Luís,17279.0
2023-02-06,CO de Uberlândia,9612.0
2023-02-06,DAC de Aracaju,2283.0
2023-02-06,DAC de Barra de São Francisco,3140.0
2023-02-06,DAC de Bauru,4552.0
2023-02-06,DAC de Caxias do Sul,2402.0
2023-02-06,DAC de Governador Valadares,1019.0
2023-02-06,DAC de Itajaí,2136.0
2023-02-06,DAC de Itaobim,2749.0
2023-02-06,DAC de Jequié,6189.0
2023-02-06,DAC de Joinville,616.0
2023-02-06,DAC de João Pessoa,3242.0
2023-02-06,DAC de Juazeiro,3032.0
2023-02-06,DAC de Londrina,2134.0
2023-02-06,DAC de Macapá,1998.0
2023-02-06,DAC de Montes Claros,1785.0
2023-02-06,DAC de Mossoró,2074.0
2023-02-06,DAC de Ponta Grossa,1360.0
2023-02-06,DAC de Rio Largo,4600.0
2023-02-06,DAC de Santa Maria,2122.0
2023-02-06,DAC de Santos,3268.0
2023-02-06,DAC de Serra,4145.0
2023-02-06,DAC de Socorro,7335.0
2023-02-06,DAC de São José,1918.0
2023-02-06,DAC de São José do Rio Preto,3248.0
2023-02-06,DAC de Teresina,2994.0
2023-02-07,CO de Araucária,11864.0
2023-02-07,CO de Barueri,13912.0
2023-02-07,CO de Belém,16071.0
2023-02-07,CO de Brasília,6641.0
2023-02-07,CO de Campo Grande,9108.0
2023-02-07,CO de Canoas,14788.0
2023-02-07,CO de Capuava,17618.0
2023-02-07,CO de Cascavel,6729.0
2023-02-07,CO de Cuiabá,10323.0
2023-02-07,CO de Duque de Caxias,19333.0
2023-02-07,CO de Fortaleza,17407.0
2023-02-07,CO de Goiânia,12022.0
2023-02-07,CO de Gurupi,4146.0
2023-02-07,CO de Ibirité,15323.0
2023-02-07,CO de Jardinópolis,8468.0
2023-02-07,CO de Mataripe,15604.0
2023-02-07,CO de Natal,13533.0
2023-02-07,CO de Passo Fundo,6100.0
2023-02-07,CO de Paulínia,15010.0
2023-02-07,CO de Pelotas,5527.0
2023-02-07,CO de Suape,17844.0
2023-02-07,CO de São José dos Campos,5542.0
2023-02-07,CO de São Luís,16695.0
2023-02-07,CO de Uberlândia,9385.0
2023-02-07,DAC de Aracaju,1229.0
2023-02-07,DAC de Barra de São Francisco,480.0
2023-02-07,DAC de Bauru,4423.0
2023-02-07,DAC de Caxias do Sul,2558.0
2023-02-07,DAC de Governador Valadares,2023.0
2023-02-07,DAC de Itajaí,1464.0
2023-02-07,DAC de Itaobim,1003.0
2023-02-07,DAC de Jequié,4925.0
2023-02-07,DAC de Joinville,977.0
2023-02-07,DAC de João Pessoa,4396.0
2023-02-07,DAC de Juazeiro,1459.0
2023-02-07,DAC de Londrina,1694.0
2023-02-07,DAC de Macapá,882.0
2023-02-07,DAC de Montes Claros,2570.0
2023-02-07,DAC de Mossoró,1499.0
2023-02-07,DAC de Ponta Grossa,1559.0
2023-02-07,DAC de Rio Largo,2500.0
2023-02-07,DAC de Santa Maria,2292.0
2023-02-07,DAC de Santos,1901.0
2023-02-07,DAC de Serra,4179.0
2023-02-07,DAC de Socorro,4834.0
2023-02-07,DAC de São José,1113.0
2023-02-07,DAC de São José do Rio Preto,3094.0
2023-02-07,DAC de Teresina,3699.0
2023-02-08,CO de Araucária,17125.0
2023-02-08,CO de Barueri,18283.0
2023-02-08,CO de Belém,14916.0
2023-02-08,CO de Brasília,5009.0
2023-02-08,CO de Campo Grande,8065.0
2023-02-08,CO de Canoas,18583.0
2023-02-08,CO de Capuava,12554.0
2023-02-08,CO de Cascavel,3117.0
2023-02-08,CO de Cuiabá,7545.0
2023-02-08,CO de Duque de Caxias,21061.0
2023-02-08,CO de Fortaleza,14555.0
2023-02-08,CO de Goiânia,10751.0
2023-02-08,CO de Gurupi,4853.0
2023-02-08,CO de Ibirité,14083.0
2023-02-08,CO de Jardinópolis,10249.0
2023-02-08,CO de Mataripe,17281.0
2023-02-08,CO de Natal,10035.0
2023-02-08,CO de Passo Fundo,8452.0
2023-02-08,CO de Paulínia,12658.0
2023-02-08,CO de Pelotas,6408.0
2023-02-08,CO de Suape,21038.0
2023-02-08,CO de São José dos Campos,7799.0
2023-02-08,CO de São Luís,15648.0
2023-02-08,CO de Uberlândia,8048.0
2023-02-08,DAC de Aracaju,1659.0
2023-02-08,DAC de Barra de São Francisco,4040.0
2023-02-08,DAC de Bauru,3994.0
2023-02-08,DAC de Caxias do Sul,2377.0
2023-02-08,DAC de Governador Valadares,978.0
2023-02-08,DAC de Itajaí,1703.0
2023-02-08,DAC de Itaobim,1410.0
2023-02-08,DAC de Jequié,6504.0
2023-02-08,DAC de Joinville,457.0
2023-02-08,DAC de João Pessoa,3162.0
2023-02-08,DAC de Juazeiro,2953.0
2023-02-08,DAC de Londrina,2454.0
2023-02-08,DAC de Macapá,1130.0
2023-02-08,DAC de Montes Claros,1109.0
2023-02-08,DAC de Mossoró,1828.0
2023-02-08,DAC de Ponta Grossa,1062.0
2023-02-08,DAC de Rio Largo,3476.0
2023-02-08,DAC de Santa Maria,1307.0
2023-02-08,DAC de Santos,1557.0
2023-02-08,DAC de Serra,2309.0
2023-02-08,DAC de Socorro,5216.0
2023-02-08,DAC de São José,1562.0
2023-02-08,DAC de São José do Rio Preto,4024.0
2023-02-08,DAC de Teresina,2691.0
2023-02-09,CO de Araucária,15407.0
2023-02-09,CO de Barueri,17500.0
2023-02-09,CO de Belém,17304.0
2023-02-09,CO de Brasília,5743.0
2023-02-09,CO de Campo Grande,9150.0
2023-02-09,CO de Canoas,13436.0
2023-02-09,CO de Capuava,16054.0
2023-02-09,CO de Cascavel,5108.0
2023-02-09,CO de Cuiabá,7639.0
2023-02-09,CO de Duque de Caxias,17505.0
2023-02-09,CO de Fortaleza,19045.0
2023-02-09,CO de Goiânia,8363.0
2023-02-09,CO de Gurupi,3510.0
2023-02-09,CO de Ibirité,11390.0
2023-02-09,CO de Jardinópolis,5974.0
2023-02-09,CO de Mataripe,14909.0
2023-02-09,CO de Natal,5868.0
2023-02-09,CO de Passo Fundo,6815.0
2023-02-09,CO de Paulínia,15195.0
2023-02-09,CO de Pelotas,3787.0
2023-02-09,CO de Suape,30585.0
2023-02-09,CO de São José dos Campos,6408.0
2023-02-09,CO de São Luís,14826.0
2023-02-09,CO de Uberlândia,7251.0
2023-02-09,DAC de Aracaju,1469.0
2023-02-09,DAC de Barra de São Francisco,1992.0
2023-02-09,DAC de Bauru,3466.0
2023-02-09,DAC de Caxias do Sul,1088.0
2023-02-09,DAC de Governador Valadares,2479.0
2023-02-09,DAC de Itajaí,1317.0
2023-02-09,DAC de Itaobim,1077.0
2023-02-09,DAC de Jequié,3550.0
2023-02-09,DAC de Joinville,1281.0
2023-02-09,DAC de João Pessoa,3786.0
2023-02-09,DAC de Juazeiro,1614.0
2023-02-09,DAC de Londrina,1064.0
2023-02-09,DAC de Macapá,607.0
2023-02-09,DAC de Montes Claros,1419.0
2023-02-09,DAC de Mossoró,1463.0
2023-02-09,DAC de Ponta Grossa,2070.0
2023-02-09,DAC de Rio Largo,2213.0
2023-02-09,DAC de Santa Maria,1097.0
2023-02-09,DAC de Santos,1756.0
2023-02-09,DAC de Serra,3567.0
2023-02-09,DAC de Socorro,5046.0
2023-02-09,DAC de São José,1163.0
2023-02-09,DAC de São José do Rio Preto,2088.0
2023-02-09,DAC de Teresina,916.0
2023-02-10,CO de Araucária,14921.0
2023-02-10,CO de Barueri,14475.0
2023-02-10,CO de Belém,18743.0
2023-02-10,CO de Brasília,7035.0
2023-02-10,CO de Campo Grande,8096.0
2023-02-10,CO de Canoas,15481.0
2023-02-10,CO de Capuava,14781.0
2023-02-10,CO de Cascavel,5820.0
2023-02-10,CO de Cuiabá,3971.0
2023-02-10,CO de Duque de Caxias,23500.0
2023-02-10,CO de Fortaleza,11652.0
2023-02-10,CO de Goiânia,11030.0
2023-02-10,CO de Gurupi,5731.0
2023-02-10,CO de Ibirité,13753.0
2023-02-10,CO de Jardinópolis,8568.0
2023-02-10,CO de Mataripe,20436.0
2023-02-10,CO de Natal,10415.0
2023-02-10,CO de Passo Fundo,7837.0
2023-02-10,CO de Paulínia,13028.0
2023-02-10,CO de Pelotas,5314.0
2023-02-10,CO de Suape,25431.0
2023-02-10,CO de São José dos Campos,6748.0
2023-02-10,CO de São Luís,12376.0
2023-02-10,CO de Uberlândia,9590.0
2023-02-10,DAC de Aracaju,2174.0
2023-02-10,DAC de Barra de São Francisco,3743.0
2023-02-10,DAC de Bauru,3066.0
2023-02-10,DAC de Caxias do Sul,1172.0
2023-02-10,DAC de Governador Valadares,1448.0
2023-02-10,DAC de Itajaí,1898.0
2023-02-10,DAC de Itaobim,2509.0
2023-02-10,DAC de Jequié,7836.0
2023-02-10,DAC de Joinville,1225.0
2023-02-10,DAC de João Pessoa,4336.0
2023-02-10,DAC de Juazeiro,2703.0
2023-02-10,DAC de Londrina,2254.0
2023-02-10,DAC de Macapá,2075.0
2023-02-10,DAC de Montes Claros,2406.0
2023-02-10,DAC de Mossoró,1806.0
2023-02-10,DAC de Ponta Grossa,603.0
2023-02-10,DAC de Rio Largo,2934.0
2023-02-10,DAC de Santa Maria,2181.0
2023-02-10,DAC de Santos,2756.0
2023-02-10,DAC de Serra,4708.0
2023-02-10,DAC de Socorro,7640.0
2023-02-10,DAC de São José,1916.0
2023-02-10,DAC de São José do Rio Preto,4712.0
2023-02-10,DAC de Teresina,4455.0
2023-02-11,CO de Araucária,6421.0
2023-02-11,CO de Barueri,15595.0
2023-02-11,CO de Belém,15243.0
2023-02-11,CO de Brasília,4812.0
2023-02-11,CO de Campo Grande,5658.0
2023-02-11,CO de Canoas,9314.0
2023-02-11,CO de Capuava,11824.0
2023-02-11,CO de Cascavel,3322.0
2023-02-11,CO de Cuiabá,3044.0
2023-02-11,CO de Duque de Caxias,10776.0
2023-02-11,CO de Fortaleza,6915.0
2023-02-11,CO de Goiânia,5128.0
2023-02-11,CO de Gurupi,688.0
2023-02-11,CO de Ibirité,9965.0
2023-02-11,CO de Jardinópolis,5875.0
2023-02-11,CO de Mataripe,10402.0
2023-02-11,CO de Natal,7468.0
2023-02-11,CO de Passo Fundo,1282.0
2023-02-11,CO de Paulínia,7858.0
2023-02-11,CO de Pelotas,2181.0
2023-02-11,CO de Suape,24701.0
2023-02-11,CO de São José dos Campos,3024.0
2023-02-11,CO de São Luís,10826.0
2023-02-11,CO de Uberlândia,2748.0
2023-02-11,DAC de Aracaju,1610.0
2023-02-11,DAC de Bauru,2959.0
2023-02-11,DAC de Caxias do Sul,1089.0
2023-02-11,DAC de Governador Valadares,1072.0
2023-02-11,DAC de Itaobim,450.0
