DATE,UNIDADE,QUANTIDADE,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,QUANTIDADE_LAG_1,QUANTIDADE_LAG_2,QUANTIDADE_MA_3
2023-08-31,CO de Araucária,9343.0,31,3,5,8,3,2023,12104.0,10920.0,11782.667
2023-09-01,CO de Araucária,7303.0,1,4,1,9,3,2023,9343.0,12104.0,10789.0
2023-09-02,CO de Araucária,5535.0,2,5,1,9,3,2023,7303.0,9343.0,9583.333
2023-09-04,CO de Araucária,9035.0,4,0,1,9,3,2023,5535.0,7303.0,7393.667
2023-09-05,CO de Araucária,10392.0,5,1,1,9,3,2023,9035.0,5535.0,7291.0
2023-09-06,CO de Araucária,15512.0,6,2,1,9,3,2023,10392.0,9035.0,8320.667
2023-09-08,CO de Araucária,14172.0,8,4,2,9,3,2023,15512.0,10392.0,11646.333
2023-09-09,CO de Araucária,9593.0,9,5,2,9,3,2023,14172.0,15512.0,13358.667
2023-09-11,CO de Araucária,14711.0,11,0,2,9,3,2023,9593.0,14172.0,13092.333
2023-09-12,CO de Araucária,8573.0,12,1,2,9,3,2023,14711.0,9593.0,12825.333
2023-09-13,CO de Araucária,7534.0,13,2,2,9,3,2023,8573.0,14711.0,10959.0
2023-09-14,CO de Araucária,10653.0,14,3,2,9,3,2023,7534.0,8573.0,10272.667
2023-09-15,CO de Araucária,7429.0,15,4,3,9,3,2023,10653.0,7534.0,8920.0
2023-09-16,CO de Araucária,6266.0,16,5,3,9,3,2023,7429.0,10653.0,8538.667
2023-09-18,CO de Araucária,9489.0,18,0,3,9,3,2023,6266.0,7429.0,8116.0
2023-09-19,CO de Araucária,8983.0,19,1,3,9,3,2023,9489.0,6266.0,7728.0
2023-09-20,CO de Araucária,8009.0,20,2,3,9,3,2023,8983.0,9489.0,8246.0
2023-09-21,CO de Araucária,10407.0,21,3,3,9,3,2023,8009.0,8983.0,8827.0
2023-09-22,CO de Araucária,7105.0,22,4,4,9,3,2023,10407.0,8009.0,9133.0
2023-09-23,CO de Araucária,5586.0,23,5,4,9,3,2023,7105.0,10407.0,8507.0
2023-09-25,CO de Araucária,5491.0,25,0,4,9,3,2023,5586.0,7105.0,7699.333
2023-09-26,CO de Araucária,8721.0,26,1,4,9,3,2023,5491.0,5586.0,6060.667
2023-09-27,CO de Araucária,10357.0,27,2,4,9,3,2023,8721.0,5491.0,6599.333
2023-09-28,CO de Araucária,10138.0,28,3,4,9,3,2023,10357.0,8721.0,8189.667
2023-09-29,CO de Araucária,9795.0,29,4,5,9,3,2023,10138.0,10357.0,9738.667
2023-09-30,CO de Araucária,3820.0,30,5,5,9,3,2023,9795.0,10138.0,10096.667
2023-10-02,CO de Araucária,7620.0,2,0,1,10,4,2023,3820.0,9795.0,7917.667
2023-10-03,CO de Araucária,12918.0,3,1,1,10,4,2023,7620.0,3820.0,7078.333
2023-10-04,CO de Araucária,8293.0,4,2,1,10,4,2023,12918.0,7620.0,8119.333
2023-10-05,CO de Araucária,10355.0,5,3,1,10,4,2023,8293.0,12918.0,9610.333
2023-10-06,CO de Araucária,10397.0,6,4,1,10,4,2023,10355.0,8293.0,10522.0
2023-10-07,CO de Araucária,6265.0,7,5,1,10,4,2023,10397.0,10355.0,9681.667
2023-10-09,CO de Araucária,11857.0,9,0,2,10,4,2023,6265.0,10397.0,9005.667
2023-10-10,CO de Araucária,9264.0,10,1,2,10,4,2023,11857.0,6265.0,9506.333
2023-10-11,CO de Araucária,11935.0,11,2,2,10,4,2023,9264.0,11857.0,9128.667
2023-10-13,CO de Araucária,12169.0,13,4,2,10,4,2023,11935.0,9264.0,11018.667
2023-10-14,CO de Araucária,6403.0,14,5,2,10,4,2023,12169.0,11935.0,11122.667
2023-10-16,CO de Araucária,5814.0,16,0,3,10,4,2023,6403.0,12169.0,10169.0
2023-10-17,CO de Araucária,13653.0,17,1,3,10,4,2023,5814.0,6403.0,8128.667
2023-10-18,CO de Araucária,7886.0,18,2,3,10,4,2023,13653.0,5814.0,8623.333
2023-10-19,CO de Araucária,12039.0,19,3,3,10,4,2023,7886.0,13653.0,9117.667
2023-10-20,CO de Araucária,8917.0,20,4,3,10,4,2023,12039.0,7886.0,11192.667
