DATE,TICKER,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,XGB,MODEL_TYPE,ET,ADA,FORECAST,RUN_DATE
2024-07-10,BOVA11.SA,10,2,2,7,3,2024,121.18052631578949,121.18052631578949,121.14701754385966,,AdaBoostRegressor,,121.18,121.18,2024-07-05
2024-07-03,BCFF11.SA,3,2,1,7,3,2024,8.33,8.44,8.413333333333334,8.23,XGBRegressor,,,8.23,2024-07-05
2024-07-04,BCFF11.SA,4,3,1,7,3,2024,8.232454299926758,8.33,8.33415143330892,8.14,XGBRegressor,,,8.14,2024-07-05
2024-07-05,BCFF11.SA,5,4,1,7,3,2024,8.136731147766113,8.232454299926758,8.233061815897623,8.14,XGBRegressor,,,8.14,2024-07-05
2024-07-08,BCFF11.SA,8,0,2,7,3,2024,8.136731147766113,8.136731147766113,8.168639183044434,8.14,XGBRegressor,,,8.14,2024-07-05
2024-07-09,BCFF11.SA,9,1,2,7,3,2024,8.136731147766113,8.136731147766113,8.136731147766113,8.14,XGBRegressor,,,8.14,2024-07-05
2024-07-10,BCFF11.SA,10,2,2,7,3,2024,8.136731147766113,8.136731147766113,8.136731147766113,8.14,XGBRegressor,,,8.14,2024-07-05
2024-07-03,BCFF11.SA,3,2,1,7,3,2024,8.33,8.44,8.413333333333334,,ExtraTreesRegressor,8.4,,8.4,2024-07-05
2024-07-04,BCFF11.SA,4,3,1,7,3,2024,8.40086783487711,8.33,8.39028927829237,,ExtraTreesRegressor,8.37,,8.37,2024-07-05
2024-07-05,BCFF11.SA,5,4,1,7,3,2024,8.373037867344644,8.40086783487711,8.367968567407251,,ExtraTreesRegressor,8.38,,8.38,2024-07-05
2024-07-08,BCFF11.SA,8,0,2,7,3,2024,8.377752397259174,8.373037867344644,8.383886033160309,,ExtraTreesRegressor,8.35,,8.35,2024-07-05
2024-07-09,BCFF11.SA,9,1,2,7,3,2024,8.35227551233854,8.377752397259174,8.367688592314119,,ExtraTreesRegressor,8.35,,8.35,2024-07-05
2024-07-10,BCFF11.SA,10,2,2,7,3,2024,8.350961035426561,8.35227551233854,8.360329648341425,,ExtraTreesRegressor,8.36,,8.36,2024-07-05
2024-07-03,BCFF11.SA,3,2,1,7,3,2024,8.33,8.44,8.413333333333334,,AdaBoostRegressor,,8.33,8.33,2024-07-05
2024-07-04,BCFF11.SA,4,3,1,7,3,2024,8.33,8.33,8.366666666666667,,AdaBoostRegressor,,8.32,8.32,2024-07-05
2024-07-05,BCFF11.SA,5,4,1,7,3,2024,8.316705882352942,8.33,8.32556862745098,,AdaBoostRegressor,,8.44,8.44,2024-07-05
2024-07-08,BCFF11.SA,8,0,2,7,3,2024,8.43621052631579,8.316705882352942,8.36097213622291,,AdaBoostRegressor,,8.3,8.3,2024-07-05
2024-07-09,BCFF11.SA,9,1,2,7,3,2024,8.300058823529412,8.43621052631579,8.350991744066048,,AdaBoostRegressor,,8.37,8.37,2024-07-05
2024-07-10,BCFF11.SA,10,2,2,7,3,2024,8.369666666666667,8.300058823529412,8.36864533883729,,AdaBoostRegressor,,8.31,8.31,2024-07-05
