EVAL_DATE,RUN_DATE,MODEL_NAME,TICKER,MAE,RMSE,MAPE,BIAS,FORECAST,ACTUAL
2024-06-05,2024-06-04,XGB,BCFF11.SA,1.28,1.28,0.147,-0.079,7.42,8.7
2024-06-05,2024-06-04,ET,BCFF11.SA,0.0,0.0,0.0,0.0,8.7,8.7
2024-06-05,2024-06-04,XGB,TAEE4.SA,1.51,1.51,0.132,-0.071,9.89,11.4
2024-06-05,2024-06-04,ET,TAEE4.SA,0.07,0.07,0.006,0.003,11.47,11.4
2024-06-05,2024-06-04,XGB,EGIE3.SA,8.68,8.68,0.198,-0.11,35.12,43.8
2024-06-05,2024-06-04,ET,EGIE3.SA,0.12,0.12,0.003,0.001,43.92,43.8
2024-06-05,2024-06-04,XGB,BBSE3.SA,5.62,5.62,0.171,-0.094,27.16,32.78
2024-06-05,2024-06-04,ET,BBSE3.SA,0.11,0.11,0.003,-0.002,32.67,32.78
2024-06-05,2024-06-04,XGB,CSMG3.SA,3.48,3.48,0.172,-0.094,16.8,20.28
2024-06-05,2024-06-04,ET,CSMG3.SA,0.07,0.07,0.003,0.002,20.35,20.28
2024-06-05,2024-06-04,XGB,PETR4.SA,7.06,7.06,0.185,-0.102,31.14,38.2
2024-06-05,2024-06-04,ET,PETR4.SA,0.13,0.13,0.003,-0.002,38.07,38.2
2024-06-05,2024-06-04,XGB,BRSR6.SA,1.45,1.45,0.13,-0.07,9.68,11.13
2024-06-05,2024-06-04,ET,BRSR6.SA,0.12,0.12,0.011,0.005,11.25,11.13
2024-06-06,2024-06-05,XGB,BOVA11.SA,18.46,18.46,0.155,-0.084,100.94,119.4
2024-06-06,2024-06-05,ET,BOVA11.SA,1.87,1.87,0.016,-0.008,117.53,119.4
2024-06-06,2024-06-05,XGB,BCFF11.SA,1.28,1.28,0.147,-0.079,7.42,8.7
2024-06-06,2024-06-05,ET,BCFF11.SA,0.01,0.01,0.001,-0.001,8.69,8.7
2024-06-06,2024-06-05,XGB,TAEE4.SA,1.52,1.52,0.134,-0.072,9.86,11.38
2024-06-06,2024-06-05,ET,TAEE4.SA,0.0,0.0,0.0,0.0,11.38,11.38
2024-06-06,2024-06-05,XGB,EGIE3.SA,8.87,8.87,0.202,-0.112,35.14,44.01
2024-06-06,2024-06-05,ET,EGIE3.SA,0.07,0.07,0.002,-0.001,43.94,44.01
2024-06-06,2024-06-05,XGB,BBSE3.SA,5.78,5.78,0.175,-0.096,27.17,32.95
2024-06-06,2024-06-05,ET,BBSE3.SA,0.13,0.13,0.004,-0.002,32.82,32.95
2024-06-06,2024-06-05,XGB,CSMG3.SA,3.01,3.01,0.152,-0.082,16.81,19.82
2024-06-06,2024-06-05,ET,CSMG3.SA,0.6,0.6,0.03,0.015,20.42,19.82
2024-06-06,2024-06-05,XGB,PETR4.SA,7.2,7.2,0.188,-0.104,31.18,38.38
2024-06-06,2024-06-05,ET,PETR4.SA,0.18,0.18,0.005,-0.002,38.2,38.38
2024-06-06,2024-06-05,XGB,BRSR6.SA,1.47,1.47,0.132,-0.071,9.63,11.1
2024-06-06,2024-06-05,ET,BRSR6.SA,0.02,0.02,0.002,0.001,11.12,11.1
2024-06-07,2024-06-06,XGB,BOVA11.SA,15.7,15.7,0.134,-0.072,101.43,117.13
2024-06-07,2024-06-06,ET,BOVA11.SA,1.51,1.51,0.013,0.006,118.64,117.13
2024-06-07,2024-06-06,XGB,BCFF11.SA,1.26,1.26,0.145,-0.078,7.42,8.68
2024-06-07,2024-06-06,ET,BCFF11.SA,0.02,0.02,0.002,0.001,8.7,8.68
2024-06-07,2024-06-06,XGB,TAEE4.SA,1.44,1.44,0.128,-0.068,9.85,11.29
2024-06-07,2024-06-06,ET,TAEE4.SA,0.09,0.09,0.008,0.004,11.38,11.29
2024-06-07,2024-06-06,XGB,EGIE3.SA,8.31,8.31,0.191,-0.106,35.17,43.48
2024-06-07,2024-06-06,ET,EGIE3.SA,0.15,0.15,0.003,0.002,43.63,43.48
2024-06-07,2024-06-06,XGB,BBSE3.SA,5.5,5.5,0.168,-0.092,27.19,32.69
2024-06-07,2024-06-06,ET,BBSE3.SA,0.21,0.21,0.006,0.003,32.9,32.69
